Patrones: PayasoLanderANN
Salidas: GiroD, Nula, GiroI, ImpGiroD, Impulso, ImpGiroI
Entradas: Px, Py, Vx, Vy, Ang, Vv
7.847516,-42.798840,-35.323935,31.880591,7.107208,0.000000,3
4.980370,-41.098293,-32.002823,22.773234,-20.552712,0.000000,4
4.097228,-40.624716,-30.722243,22.442100,-29.068392,0.000000,1
0.379937,-37.986280,-28.065299,31.346413,-51.966845,0.000000,0
-1.149424,-36.562852,-25.304593,33.155285,-68.046851,0.000000,3
-1.622723,-36.051808,-22.415962,32.034180,-74.508454,0.000000,4
-2.045927,-35.554729,-19.225780,30.709047,-79.056459,0.000000,5
-3.277428,-32.472426,-0.988072,23.389172,-51.272173,0.000000,1
-3.476680,-27.078772,-0.382923,36.101389,-17.462582,0.000000,4
-3.439310,-25.701282,1.229694,29.857657,-13.874268,0.000000,5
-3.291830,-24.098834,1.718343,23.314428,8.012986,0.000000,1
-3.083624,-21.376036,1.569736,32.158052,30.242289,0.000000,0
-2.934190,-18.694360,1.463097,38.505279,13.129747,0.000000,1
-2.854186,-16.981957,1.350530,39.427090,2.090167,0.000000,4
-2.747118,-15.133737,1.743016,31.349371,-6.384204,0.000000,5
-2.555847,-13.220038,1.755823,23.232525,9.848085,0.000000,1
-2.343122,-10.505136,1.603974,32.081275,27.836160,0.000000,0
-2.330619,-10.172995,0.870016,30.588549,27.252014,0.000000,3
-2.506201,-7.856502,-1.515561,16.768515,-9.654775,0.000000,4
-2.534538,-7.588380,-1.328823,17.065493,-15.913372,0.000000,1
-2.648549,-6.011296,-0.339615,22.097236,-34.978935,0.000000,4
-2.640279,-5.788746,0.583777,20.793907,-35.783391,0.000000,5
-2.105020,-4.389278,5.780745,11.426415,-8.874989,0.000000,1
-1.751216,-3.743601,5.302188,12.786379,6.331597,0.000000,4
-1.357529,-3.148066,2.571707,5.380424,19.928201,0.000000,1
-1.250440,-2.898659,2.495324,8.952291,22.069443,0.000000,0
-1.078983,-2.234916,2.373029,14.671172,10.797273,0.000000,1
-54.199845,-28.589610,0.000000,0.000000,0.000000,0.000000,1
